ID,Label
10001,1
10002,1
10003,0
10004,1
10005,1
10006,1
10007,1
10008,1
10009,1
10010,1
10011,1
10012,1
10013,1
10014,1
10015,1
10016,0
10017,0
10018,1
10019,0
10020,1
10021,1
10022,1
10023,1
10024,0
10025,0
10026,1
10027,1
10028,0
10029,1
10030,0
10031,1
10032,0
10033,0
10034,1
10035,1
10036,0
10037,1
10038,1
10039,1
10040,1
10041,1
10042,0
10043,1
10044,1
10045,1
10046,0
10047,0
10048,1
10049,1
10050,1
10051,1
10052,0
10053,1
10054,1
10055,1
10056,1
10057,0
10058,0
10059,0
10060,0
10061,0
10062,1
10063,1
10064,1
10065,1
10066,0
10067,1
10068,1
10069,0
10070,0
10071,1
10072,0
10073,1
10074,0
10075,1
10076,1
10077,0
10078,1
10079,0
10080,0
10081,0
10082,1
10083,0
10084,1
10085,0
10086,0
10087,0
10088,1
10089,1
10090,0
10091,1
10092,1
10093,1
10094,0
10095,1
10096,1
10097,0
10098,0
10099,0
10100,1
10101,1
10102,1
10103,1
10104,1
10105,1
10106,1
10107,1
10108,0
10109,1
10110,0
10111,1
10112,0
10113,1
10114,0
10115,1
10116,0
10117,1
10118,1
10119,1
10120,1
10121,0
10122,1
10123,1
10124,0
10125,1
10126,0
10127,1
10128,1
10129,1
10130,0
10131,1
10132,1
10133,0
10134,1
10135,1
10136,1
10137,0
10138,1
10139,0
10140,1
10141,0
10142,1
10143,0
10144,1
10145,0
10146,0
10147,0
10148,1
10149,0
10150,0
10151,1
10152,0
10153,1
10154,1
10155,1
10156,1
10157,1
10158,1
10159,0
10160,1
10161,1
10162,0
10163,0
10164,0
10165,1
10166,0
10167,0
10168,1
10169,1
10170,1
10171,0
10172,1
10173,0
10174,1
10175,1
10176,1
10177,1
10178,1
10179,1
10180,1
10181,0
10182,1
10183,1
10184,1
10185,1
10186,0
10187,0
10188,1
10189,1
10190,1
10191,1
10192,0
10193,1
10194,1
10195,0
10196,0
10197,1
10198,1
10199,1
10200,0
10201,1
10202,0
10203,1
10204,0
10205,0
10206,1
10207,0
10208,0
10209,1
10210,0
10211,1
10212,1
10213,1
10214,1
10215,1
10216,1
10217,1
10218,0
10219,0
10220,1
10221,0
10222,1
10223,1
10224,1
10225,1
10226,0
10227,1
10228,0
10229,0
10230,0
10231,0
10232,1
10233,1
10234,0
10235,0
10236,0
10237,1
10238,0
10239,1
10240,1
10241,1
10242,0
10243,1
10244,0
10245,1
10246,0
10247,1
10248,1
10249,1
10250,1
10251,1
10252,1
10253,1
10254,0
10255,1
10256,0
10257,1
10258,0
10259,0
10260,1
10261,1
10262,0
10263,0
10264,0
10265,1
10266,1
10267,1
10268,1
10269,1
10270,0
10271,1
10272,1
10273,1
10274,0
10275,0
10276,1
10277,1
10278,0
10279,0
10280,0
10281,0
10282,1
10283,0
10284,0
10285,1
10286,0
10287,0
10288,1
10289,0
10290,0
10291,0
10292,0
10293,0
10294,0
10295,1
10296,0
10297,1
10298,0
10299,0
10300,1
10301,1
10302,1
10303,1
10304,1
10305,0
10306,1
10307,1
10308,1
10309,1
10310,0
