ID,Label
10001,1
10002,1
10003,1
10004,0
10005,0
10006,1
10007,0
10008,0
10009,0
10010,0
10011,0
10012,1
10013,0
10014,1
10015,1
10016,0
10017,0
10018,1
10019,1
10020,1
10021,1
10022,0
10023,1
10024,1
10025,1
10026,0
10027,1
10028,1
10029,0
10030,0
10031,1
10032,1
10033,1
10034,1
10035,1
10036,0
10037,1
10038,0
10039,1
10040,0
10041,0
10042,1
10043,0
10044,0
10045,1
10046,0
10047,1
10048,1
10049,0
10050,1
10051,1
10052,0
10053,0
10054,0
10055,0
10056,1
10057,1
10058,1
10059,1
10060,0
10061,1
10062,0
10063,0
10064,0
10065,0
10066,1
10067,0
10068,0
10069,1
10070,0
10071,1
10072,1
10073,0
10074,0
10075,1
10076,1
10077,0
10078,0
10079,0
10080,0
10081,1
10082,0
10083,0
10084,1
10085,0
10086,0
10087,0
10088,1
10089,1
10090,0
10091,1
10092,0
10093,1
10094,0
10095,1
10096,1
10097,1
10098,1
10099,1
10100,0
10101,0
10102,0
10103,1
10104,1
10105,0
10106,0
10107,0
10108,1
10109,0
10110,0
10111,1
10112,1
10113,1
10114,0
10115,0
10116,1
10117,0
10118,1
10119,0
10120,0
10121,1
10122,1
10123,0
10124,1
10125,0
10126,1
10127,0
10128,0
10129,0
10130,0
10131,1
10132,1
10133,0
10134,0
10135,1
10136,1
10137,1
10138,0
10139,0
10140,0
10141,0
10142,1
10143,1
10144,0
10145,0
10146,1
10147,0
10148,0
10149,1
10150,0
10151,1
10152,1
10153,1
10154,1
10155,1
10156,1
10157,0
10158,0
10159,0
10160,0
10161,0
10162,0
10163,0
10164,1
10165,1
10166,0
10167,1
10168,1
10169,1
10170,0
10171,0
10172,0
10173,0
10174,0
10175,1
10176,1
10177,0
10178,0
10179,0
10180,0
10181,1
10182,0
10183,0
10184,0
10185,1
10186,0
10187,0
10188,1
10189,1
10190,0
10191,0
10192,1
10193,1
10194,1
10195,1
10196,1
10197,0
10198,0
10199,1
10200,0
10201,1
10202,0
10203,1
10204,1
10205,0
10206,1
10207,1
10208,0
10209,1
10210,0
10211,0
10212,0
10213,1
10214,0
10215,1
10216,1
10217,0
10218,1
10219,0
10220,1
10221,0
10222,1
10223,0
10224,1
10225,1
10226,1
10227,1
10228,0
10229,1
10230,1
10231,0
10232,0
10233,0
10234,1
10235,0
10236,0
10237,0
10238,0
10239,1
10240,0
10241,0
10242,0
10243,1
10244,1
10245,0
10246,1
10247,1
10248,1
10249,0
10250,1
10251,1
10252,0
10253,0
10254,1
10255,0
10256,0
10257,0
10258,0
10259,1
10260,0
10261,0
10262,1
10263,0
10264,1
10265,0
10266,1
10267,1
10268,1
10269,0
10270,1
10271,1
10272,1
10273,0
10274,0
10275,0
10276,0
10277,0
10278,0
10279,1
10280,1
10281,1
10282,1
10283,1
10284,1
10285,1
10286,0
10287,1
10288,0
10289,1
10290,0
10291,1
10292,0
10293,0
10294,0
10295,1
10296,0
10297,1
10298,0
10299,1
10300,1
10301,1
10302,0
10303,1
10304,0
10305,1
10306,0
10307,1
10308,0
10309,1
10310,0
