ID,Label
10001,0
10002,1
10003,0
10004,0
10005,0
10006,1
10007,0
10008,0
10009,0
10010,0
10011,1
10012,1
10013,0
10014,0
10015,1
10016,1
10017,0
10018,0
10019,0
10020,0
10021,1
10022,0
10023,0
10024,0
10025,0
10026,0
10027,1
10028,0
10029,1
10030,0
10031,1
10032,0
10033,0
10034,0
10035,1
10036,1
10037,0
10038,0
10039,1
10040,0
10041,0
10042,0
10043,1
10044,0
10045,0
10046,1
10047,1
10048,0
10049,0
10050,0
10051,1
10052,0
10053,0
10054,0
10055,0
10056,0
10057,0
10058,0
10059,1
10060,0
10061,0
10062,1
10063,1
10064,1
10065,0
10066,0
10067,0
10068,1
10069,0
10070,0
10071,0
10072,0
10073,0
10074,1
10075,0
10076,1
10077,0
10078,1
10079,0
10080,1
10081,1
10082,0
10083,0
10084,0
10085,0
10086,0
10087,0
10088,0
10089,0
10090,0
10091,0
10092,1
10093,0
10094,1
10095,1
10096,0
10097,0
10098,1
10099,1
10100,0
10101,1
10102,0
10103,0
10104,0
10105,0
10106,1
10107,0
10108,1
10109,0
10110,1
10111,0
10112,0
10113,0
10114,0
10115,0
10116,0
10117,0
10118,1
10119,0
10120,0
10121,0
10122,0
10123,0
10124,0
10125,0
10126,0
10127,0
10128,0
10129,0
10130,0
10131,0
10132,0
10133,0
10134,0
10135,1
10136,0
10137,0
10138,0
10139,0
10140,1
10141,0
10142,0
10143,0
10144,0
10145,0
10146,0
10147,0
10148,0
10149,1
10150,0
10151,0
10152,1
10153,1
10154,0
10155,1
10156,0
10157,1
10158,0
10159,0
10160,1
10161,0
10162,1
10163,1
10164,0
10165,1
10166,1
10167,0
10168,1
10169,0
10170,0
10171,1
10172,0
10173,0
10174,0
10175,1
10176,1
10177,0
10178,0
10179,0
10180,1
10181,1
10182,0
10183,0
10184,0
10185,0
10186,1
10187,0
10188,1
10189,1
10190,1
10191,0
10192,0
10193,1
10194,1
10195,0
10196,0
10197,0
10198,1
10199,1
10200,1
10201,1
10202,0
